"siteID","taxonID","year","individualID","nthTransition","windowStart","windowEnd","windowMid","duration","tag_yr"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06007",2,96,102,99,6,"2016 _ NEON.PLA.D01.HARV.06007"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06011",1,83,116,99.5,33,"2016 _ NEON.PLA.D01.HARV.06011"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06013",1,74,106,90,32,"2016 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06017",2,104,111,107.5,7,"2016 _ NEON.PLA.D01.HARV.06017"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06024",4,96,113,104.5,17,"2016 _ NEON.PLA.D01.HARV.06024"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06027",2,83,111,97,28,"2016 _ NEON.PLA.D01.HARV.06027"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06033",1,76,83,79.5,7,"2016 _ NEON.PLA.D01.HARV.06033"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06033",2,90,111,100.5,21,"2016 _ NEON.PLA.D01.HARV.06033"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06043",1,88,97,92.5,9,"2016 _ NEON.PLA.D01.HARV.06043"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06043",2,102,111,106.5,9,"2016 _ NEON.PLA.D01.HARV.06043"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06054",1,96,113,104.5,17,"2016 _ NEON.PLA.D01.HARV.06054"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06060",1,88,111,99.5,23,"2016 _ NEON.PLA.D01.HARV.06060"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06539",1,74,102,88,28,"2016 _ NEON.PLA.D01.HARV.06539"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06539",2,106,116,111,10,"2016 _ NEON.PLA.D01.HARV.06539"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06540",1,90,111,100.5,21,"2016 _ NEON.PLA.D01.HARV.06540"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06541",1,96,106,101,10,"2016 _ NEON.PLA.D01.HARV.06541"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06545",1,88,116,102,28,"2016 _ NEON.PLA.D01.HARV.06545"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06548",1,96,111,103.5,15,"2016 _ NEON.PLA.D01.HARV.06548"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06549",1,88,111,99.5,23,"2016 _ NEON.PLA.D01.HARV.06549"
"HARV","ACRU","2016","NEON.PLA.D01.HARV.06554",2,85,111,98,26,"2016 _ NEON.PLA.D01.HARV.06554"
"HARV","ACRU","2017","NEON.PLA.D01.HARV.06011",1,87,114,100.5,27,"2017 _ NEON.PLA.D01.HARV.06011"
"HARV","ACRU","2017","NEON.PLA.D01.HARV.06013",2,107,111,109,4,"2017 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2017","NEON.PLA.D01.HARV.06024",1,100,111,105.5,11,"2017 _ NEON.PLA.D01.HARV.06024"
"HARV","ACRU","2017","NEON.PLA.D01.HARV.06033",2,100,111,105.5,11,"2017 _ NEON.PLA.D01.HARV.06033"
"HARV","ACRU","2017","NEON.PLA.D01.HARV.06043",1,107,111,109,4,"2017 _ NEON.PLA.D01.HARV.06043"
"HARV","ACRU","2017","NEON.PLA.D01.HARV.06539",1,94,114,104,20,"2017 _ NEON.PLA.D01.HARV.06539"
"HARV","ACRU","2017","NEON.PLA.D01.HARV.06541",1,107,111,109,4,"2017 _ NEON.PLA.D01.HARV.06541"
"HARV","ACRU","2018","NEON.PLA.D01.HARV.06001",1,123,127,125,4,"2018 _ NEON.PLA.D01.HARV.06001"
"HARV","ACRU","2018","NEON.PLA.D01.HARV.06011",1,120,127,123.5,7,"2018 _ NEON.PLA.D01.HARV.06011"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.00082",1,108,119,113.5,11,"2019 _ NEON.PLA.D01.HARV.00082"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06001",1,115,119,117,4,"2019 _ NEON.PLA.D01.HARV.06001"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06007",1,108,115,111.5,7,"2019 _ NEON.PLA.D01.HARV.06007"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06011",1,112,119,115.5,7,"2019 _ NEON.PLA.D01.HARV.06011"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06027",1,112,119,115.5,7,"2019 _ NEON.PLA.D01.HARV.06027"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06033",1,108,115,111.5,7,"2019 _ NEON.PLA.D01.HARV.06033"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06047",1,112,119,115.5,7,"2019 _ NEON.PLA.D01.HARV.06047"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06049",1,115,119,117,4,"2019 _ NEON.PLA.D01.HARV.06049"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06060",1,108,119,113.5,11,"2019 _ NEON.PLA.D01.HARV.06060"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06094",1,115,119,117,4,"2019 _ NEON.PLA.D01.HARV.06094"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06519",1,112,119,115.5,7,"2019 _ NEON.PLA.D01.HARV.06519"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06523",1,115,119,117,4,"2019 _ NEON.PLA.D01.HARV.06523"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06524",1,108,122,115,14,"2019 _ NEON.PLA.D01.HARV.06524"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06539",1,115,126,120.5,11,"2019 _ NEON.PLA.D01.HARV.06539"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06540",1,108,115,111.5,7,"2019 _ NEON.PLA.D01.HARV.06540"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06545",1,108,119,113.5,11,"2019 _ NEON.PLA.D01.HARV.06545"
"HARV","ACRU","2019","NEON.PLA.D01.HARV.06549",1,108,119,113.5,11,"2019 _ NEON.PLA.D01.HARV.06549"
"HARV","ACRU","2021","NEON.PLA.D01.HARV.06013",1,98,112,105,14,"2021 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2021","NEON.PLA.D01.HARV.06024",1,98,105,101.5,7,"2021 _ NEON.PLA.D01.HARV.06024"
"HARV","ACRU","2021","NEON.PLA.D01.HARV.06027",1,102,112,107,10,"2021 _ NEON.PLA.D01.HARV.06027"
"HARV","ACRU","2021","NEON.PLA.D01.HARV.06523",1,102,112,107,10,"2021 _ NEON.PLA.D01.HARV.06523"
"HARV","ACRU","2021","NEON.PLA.D01.HARV.06524",1,98,109,103.5,11,"2021 _ NEON.PLA.D01.HARV.06524"
"HARV","ACRU","2021","NEON.PLA.D01.HARV.06541",1,98,102,100,4,"2021 _ NEON.PLA.D01.HARV.06541"
"HARV","ACRU","2021","NEON.PLA.D01.HARV.06643",1,98,105,101.5,7,"2021 _ NEON.PLA.D01.HARV.06643"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06007",1,101,111,106,10,"2022 _ NEON.PLA.D01.HARV.06007"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06013",1,104,116,110,12,"2022 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06024",1,104,116,110,12,"2022 _ NEON.PLA.D01.HARV.06024"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06027",1,104,116,110,12,"2022 _ NEON.PLA.D01.HARV.06027"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06523",1,104,119,111.5,15,"2022 _ NEON.PLA.D01.HARV.06523"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06524",1,101,119,110,18,"2022 _ NEON.PLA.D01.HARV.06524"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06541",1,101,116,108.5,15,"2022 _ NEON.PLA.D01.HARV.06541"
"HARV","ACRU","2022","NEON.PLA.D01.HARV.06643",1,101,116,108.5,15,"2022 _ NEON.PLA.D01.HARV.06643"
"HARV","ACRU","2023","NEON.PLA.D01.HARV.06007",1,103,110,106.5,7,"2023 _ NEON.PLA.D01.HARV.06007"
"HARV","ACRU","2023","NEON.PLA.D01.HARV.06524",1,103,110,106.5,7,"2023 _ NEON.PLA.D01.HARV.06524"
"HARV","ACRU","2023","NEON.PLA.D01.HARV.06541",1,103,110,106.5,7,"2023 _ NEON.PLA.D01.HARV.06541"
"HARV","ACRU","2023","NEON.PLA.D01.HARV.06643",1,103,110,106.5,7,"2023 _ NEON.PLA.D01.HARV.06643"
"HARV","ACRU","2024","NEON.PLA.D01.HARV.06007",1,99,109,104,10,"2024 _ NEON.PLA.D01.HARV.06007"
"HARV","ACRU","2024","NEON.PLA.D01.HARV.06013",1,102,109,105.5,7,"2024 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2024","NEON.PLA.D01.HARV.06523",1,109,116,112.5,7,"2024 _ NEON.PLA.D01.HARV.06523"
"HARV","ACRU","2024","NEON.PLA.D01.HARV.06524",1,99,116,107.5,17,"2024 _ NEON.PLA.D01.HARV.06524"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06007",1,100,111,105.5,11,"2025 _ NEON.PLA.D01.HARV.06007"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06013",1,107,111,109,4,"2025 _ NEON.PLA.D01.HARV.06013"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06024",1,104,111,107.5,7,"2025 _ NEON.PLA.D01.HARV.06024"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06027",1,107,111,109,4,"2025 _ NEON.PLA.D01.HARV.06027"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06523",1,100,111,105.5,11,"2025 _ NEON.PLA.D01.HARV.06523"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06524",1,100,111,105.5,11,"2025 _ NEON.PLA.D01.HARV.06524"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06541",1,100,111,105.5,11,"2025 _ NEON.PLA.D01.HARV.06541"
"HARV","ACRU","2025","NEON.PLA.D01.HARV.06643",1,100,111,105.5,11,"2025 _ NEON.PLA.D01.HARV.06643"
